,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2007-06-30,"$4,277","$3,827","$-1,191","$2,636","$-2,149","$2,537",-,"$1,501",$588,"$7,501","$-2,172",-,-,"$-69,244","$58,887","$-10,357","$-9,761","$-22,290","$9,190",-,"$9,190",$128,$128,$-429,"$5,842","$14,731",$-67,-,$-429
2007-03-31,"$4,130","$3,692",$-659,"$3,033",$937,"$-2,684",-,"$3,438","$2,767","$9,930","$-2,149",-,-,"$-1,310","$-6,043","$-7,353","$-8,522","$-18,024","$7,122",-,"$7,122",$36,$36,$-430,"$1,488","$8,216",$112,-,$-430
2006-12-31,"$3,439","$4,514","$-16,155","$-11,641",$250,"$-9,142",-,"$19,211","$10,417","$2,215","$-1,309",-,-,"$9,603","$-59,005","$-49,402","$35,941","$-14,770","$-41,580",-,"$-41,580",$56,$56,$-429,"$54,618","$12,665",$165,-,$-429
2006-09-30,"$4,224","$3,845",$-913,"$2,932",$384,"$-5,797",-,"$-3,991","$-8,384","$-1,228",$-797,-,-,"$-9,371","$-4,346","$-13,717","$-3,700","$-18,214","$15,792",-,"$15,792",$28,$28,$-429,"$3,324","$18,715",$-715,-,$-429
2006-06-30,"$3,190","$3,204",$-190,"$3,014","$1,537","$-3,243",-,"$-3,222","$-4,787","$1,417","$-2,317",-,-,$-632,"$-8,141","$-8,773","$-4,733","$-15,823","$9,078",-,"$9,078",$27,$27,$-390,"$6,559","$15,274",$892,-,$-390
2006-03-31,"$3,195","$3,579",$-460,"$3,119","$-1,720","$1,133",-,"$-2,623","$-2,466","$3,848","$-1,986",-,-,$400,"$-12,033","$-11,633","$-4,488","$-18,107","$10,796",-,"$10,796",$32,$32,$-390,"$3,149","$13,587",$-649,-,$-390
2005-12-31,$444,"$11,432",$-563,"$10,869","$-2,397","$-3,175",-,"$-1,529","$-8,090","$3,223",$-57,-,-,"$-8,070","$-32,009","$-40,079","$31,254","$-8,882","$5,058",$-7,"$5,051",$32,$-68,$-390,$928,"$5,521",$-211,-,$-390
2005-09-30,"$1,745",$645,"$-2,759","$-2,114","$-2,631",$-324,-,"$8,463","$6,870","$6,501","$-2,104",-,-,"$11,116","$-25,009","$-13,893","$-1,350","$-17,347","$9,460",$101,"$9,561",$6,$6,$-390,"$1,302","$10,479",$370,-,$-390
2005-06-30,"$4,489",$384,$-240,$144,$-394,"$7,526",-,"$2,645","$9,490","$14,123","$-2,112",-,-,$-105,"$-8,177","$-8,282","$-4,718","$-15,112","$-2,529",$-458,"$-2,987",$3,$3,$-316,"$4,436","$1,136",$-623,-,$-316
2005-03-31,"$3,799",$639,$-496,$143,$249,"$-7,518",-,"$1,436","$-4,376",$-434,"$-2,288",-,-,"$-1,140","$-12,930","$-14,070","$-3,760","$-20,118","$18,328",$364,"$18,692",$-135,$-135,$-325,"$2,729","$20,961",$352,-,$-325
