,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2007-12-31,$286.2,$124.2,$341.7,$465.9,$282.9,$-75,-,$-436.6,$-462.8,$289.3,$-166.9,-,$135,-,$27.6,$27.6,$1.4,$-2.9,$-4.2,$-0.2,$-4.4,$6.5,$6.5,$-167.9,$0.3,$-165.5,$120.9,$25.8,$-167.9
2007-09-30,$343.3,$111.8,$23.2,$135,-,-,-,$-112.4,$-112.4,$365.9,$-95.6,-,$21.2,-,$22.9,$22.9,$-37.7,$-89.2,$-4.4,-,$-4.4,"$-1,685.7","$-1,685.7",$-158.5,$1.1,"$-1,847.5","$-1,570.8",$29.3,$-158.5
2007-06-30,$404,$109.5,$36.5,$146,-,-,-,$132,$132,$682,$-111.5,-,$-219.6,-,$-12.7,$-12.7,$22.9,$-320.9,$-664,$-0.4,$-664.4,$-123.9,$-123.9,$-160,$5.4,$-942.9,$-581.8,$30.5,$-160
2007-03-31,$213.5,$115.2,$26.4,$141.6,-,-,-,$492.9,$492.9,$848,$-95.1,-,$215.6,-,$-31.1,$-31.1,$188.5,$277.9,$673.8,$2.3,$676.1,"$-1,346.5","$-1,346.5",$-153.9,$2.4,$-821.9,$304,$21,$-153.9
2006-12-31,$335,$118.8,$477,$595.8,$-215,$151.8,-,$-247.8,$-735.5,$143.6,$-198.4,-,$99.1,-,$-58.9,$-58.9,$36.8,$-121.4,$-3.8,$-0.3,$-4.1,$33,$33,$-153.3,$0.2,$-124.2,$-102,$12.6,$-153.3
2006-09-30,$316.9,$109.5,$-94.1,$15.4,-,-,-,$54.1,$54.1,$407.3,$-82.5,-,$8.9,-,$-48.3,$-48.3,$-50,$-171.9,$-3.7,$-1.7,$-5.4,$20.1,$20.1,$-135.9,$0.6,$-120.6,$114.8,$20.9,$-135.9
2006-06-30,$781.7,$108.6,$-204.1,$-95.5,-,-,-,$-14.7,$-14.7,$689.7,$-66.9,-,"$1,236.5",-,$-0.1,$-0.1,$102.5,"$1,272",$-80.7,$-2.4,$-83.1,$19.8,$19.8,$-124.1,$0.7,$-186.7,"$1,775",$18.2,$-124.1
2006-03-31,$226.9,$108,$-40.5,$67.5,-,-,-,$340.8,$340.8,$647.8,$-46.3,-,$-57.8,-,$-0.2,$-0.2,$-59.4,$-163.7,$-758.5,$-0.4,$-758.9,$12,$12,$-105.8,$0.1,$-852.6,$-368.5,$12.6,$-105.8
2005-12-31,"$-9,136.4",$124.8,"$9,706.4","$9,831.2",$40.1,$-69.8,-,$-517.9,$-104.3,$577.4,$-132.2,-,$-118.3,-,$95.5,$95.5,"$5,180.1","$5,025.1",$-21.5,"$-2,443.5","$-2,465","$-1,800.8","$-1,800.8",$-109.6,$-382.6,"$-4,758",$844.5,$4.5,$-109.6
2005-09-30,$708.5,$108.9,$225.6,$334.5,-,-,-,$-35,$-35,"$1,012.9",$-71.5,-,$126.9,-,$-109.4,$-109.4,$291.9,$237.9,$-6.6,$175.6,$169,"$-1,155.2","$-1,155.2",$-111.9,$-9.3,"$-1,107.4",$143.4,$4.9,$-111.9
2005-06-30,$753.8,$93.9,$16.8,$110.7,-,-,-,$166,$166,"$1,035.4",$-64.8,-,$-167.1,-,$0.9,$0.9,$-259.2,$-490.2,"$-1,405.4","$2,059.5",$654.1,$-869.2,$-869.2,$-113.6,$-16.5,$-345.2,$200,$4.9,$-113.6
2005-03-31,$585,$120.9,$-36.1,$84.8,-,-,-,$238.2,$238.2,$911.3,$-58.5,-,$-24.8,-,$106.9,$106.9,$-28.6,$-5,$-20.3,$206.8,$186.5,"$-1,419.9","$-1,419.9",$-116.2,$-17.5,"$-1,367.1",$-460.8,$3.3,$-116.2
