,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2018-09-30,"$3,211",$643,$-225,$418,$-475,$-494,-,$-84,$-120,"$3,567","$-1,071",-,$-237,$491,$-48,$443,-,$-865,-,$24,$24,"$-1,252","$-1,252","$-1,853",$425,"$-2,656",$-24,$102,"$-1,853"
2018-06-30,"$1,890",$750,$916,"$1,666",$273,$269,-,$-331,$844,"$4,199",$-884,-,$-1,$999,$-17,$982,-,$97,"$-1,471","$-2,178","$-3,649","$-1,370","$-1,370","$-1,861",$19,"$-6,861","$-2,757",$146,"$-1,861"
2018-03-31,"$2,540",$716,$245,$961,$97,-,-,$-193,$-201,"$3,353",$-865,-,$-7,$975,$-6,$969,-,$97,$-121,"$-2,783","$-2,904","$-1,381","$-1,381","$-1,813",$460,"$-5,638","$-2,106",$92,"$-1,813"
2017-12-31,"$2,561",$676,"$-2,438","$-1,762",$-243,$-100,-,"$2,554","$2,833","$3,684",$-687,-,$-101,$-401,$18,$-383,-,"$-1,171","$1,818","$1,476","$3,294","$-1,751","$-1,751","$-1,813",$118,$-152,"$2,408",$73,"$-1,813"
2017-09-30,"$2,870",$692,$429,"$1,121",$-304,$-357,-,$-30,$-456,"$3,631","$-1,012",-,-,"$-1,554",$32,"$-1,522",-,"$-2,534","$1,973",$48,"$2,021","$-2,502","$-2,502","$-1,823",$580,"$-1,724",$-545,$84,"$-1,823"
2017-06-30,"$2,202",$720,$-103,$617,$-163,$216,-,$-262,$755,"$3,688",$-994,-,$874,$-820,$-52,$-872,"$-1,870","$-2,862","$1,051",$-829,$222,$-700,$-700,"$-1,826",$75,"$-2,229","$-1,244",$154,"$-1,826"
2017-03-31,"$2,556",$665,$50,$715,$436,$102,-,$67,$-212,"$3,040",$-670,-,-,"$-1,150",$18,"$-1,132",-,"$-1,802",$9,$841,$850,"$-2,001","$-2,001","$-1,773","$1,324","$-1,600",$-234,$93,"$-1,773"
2016-12-31,"$7,896",$707,"$-4,936","$-4,229",$-171,$40,-,$17,$-708,"$3,000",$-648,-,"$-1,351",$-997,$4,$-993,"$3,092",$100,"$-2,278","$1,196","$-1,082","$-1,501","$-1,501","$-1,786",$137,"$-4,232","$-1,405",$60,"$-1,786"
2016-09-30,"$2,757",$728,$-208,$520,$-424,$-287,-,$135,$-278,"$3,025",$-501,-,$-14,$-388,$4,$-384,"$-1,222","$-2,121",$-110,"$1,519","$1,409","$-1,002","$-1,002","$-1,851",$937,$-507,$354,$44,"$-1,851"
2016-06-30,"$1,958",$839,$-550,$289,$164,$210,-,$37,"$1,895","$4,139",$-973,-,$-1,$-311,$93,$-218,-,"$-1,192",$-3,"$-1,953","$-1,956",$-500,$-500,"$-1,847",$648,"$-3,655",$-793,$119,"$-1,847"
2016-03-31,"$2,783",$785,$-166,$619,$359,$292,-,$-207,$-77,"$3,278",$-766,-,$-995,"$-1,071",$31,"$-1,040",$-143,"$-2,944","$2,224",$-485,"$1,739","$-2,731","$-2,731","$-1,856","$1,017","$-1,831","$-1,508",$76,"$-1,856"
2015-12-31,"$3,228",$723,$25,$748,$-120,$133,-,$233,$270,"$4,480",$-649,-,$-186,$-3,$-55,$-58,-,$-893,$19,"$1,570","$1,589","$-2,001","$-2,001","$-1,868",$524,"$-1,756","$1,698",$73,"$-1,868"
2015-09-30,"$2,635",$731,$620,"$1,351",$-368,$-519,-,$141,$-448,"$3,538",$-494,-,-,$-76,$24,$-52,-,$-546,$-537,$450,$-87,$-502,$-502,"$-1,865",$483,"$-1,971",$869,$67,"$-1,865"
2015-06-30,$538,$808,"$1,918","$2,726",$41,$503,-,$-153,"$1,173","$3,988",$-491,-,$-18,"$-1,006","$1,243",$237,$-908,"$-1,180",$122,"$-2,439","$-2,317",$-350,$-350,"$-1,871",$162,"$-4,376","$-1,528",$106,"$-1,871"
